|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|count_word_text|count_word_sent
0|что|что|Что|PRCL|1|1|1|BADW|||9|1.0
1|было|было|было|PRCL|2|1|2|BADW|||2|1.0
2|нужен|нужно|нужно|ADJS|3|1|3||||2|1.0
3|в|в|в|NOUN|4|1|4|BADW|||50|1.0
4|сам|самом|самом|ADJF|5|1|5||||1|1.0
5|начало|начале|начале|NOUN|6|1|6||||1|1.0
6|.|.|.|PNCT|7|1|7|PNCT|||110|1.0
7|программа|программа|программа|NOUN|8|2|1||||2|1.0
8|,|,|,|PNCT|9|2|2|PNCT|||134|1.0
9|выуживающий|выуживающая|выуживающая|PRTF|10|2|3|WIQM|||1|1.0
10|из|из|из|PREP|11|2|4|BADW|||13|1.0
11|сырой|сырого|сырого|ADJF|12|2|5||||2|1.0
12|текст|текста|текста|NOUN|13|2|6||||28|1.0
13|на|на|на|PRCL|14|2|7|BADW|||14|1.0
14|русский|русском|русском|ADJF|15|2|8||||3|1.0
15|язык|языке|языке|NOUN|16|2|9||||2|1.0
16|уникальный|уникальные|уникальные|ADJF|17|2|10||||1|1.0
17|название|названия|названия|NOUN|18|2|11||||2|1.0
18|продукция|продукции|продукции|NOUN|19|2|12||||2|1.0
19|по|по|по|PREP|20|2|13|BADW|||16|1.0
20|определенный|определенной|определенной|ADJF|21|2|14||||1|1.0
21|отрасль|отрасли|отрасли|NOUN|22|2|15||||2|1.0
22|.|.|.|PNCT|23|2|16|PNCT|||110|1.0
23|сырой|сырой|Сырой|ADJF|24|3|1||||2|1.0
24|текст|текст|текст|NOUN|25|3|2||||28|2.0
25|,|,|,|PNCT|26|3|3|PNCT|||134|3.0
26|текст|текст|текст|NOUN|27|3|4||||28|2.0
27|,|,|,|PNCT|28|3|5|PNCT|||134|3.0
28|который|который|который|ADJF|29|3|6|BADW|||9|1.0
29|писаю|писал|писал|VERB|30|3|7||||1|1.0
30|человек|человек|человек|NOUN|31|3|8||||2|1.0
31|,|,|,|PNCT|32|3|9|PNCT|||134|3.0
